sentences,advice,symptoms
"玩完ocamp都識到1,2個真心朋友 不過其他變晒hi-bye fd 上堂識既又唔係好熟",有幾個真心朋友都好好嘅 可以試吓對同科嘅人咁敞開自己同人傾吓計識下佢哋,L6
得返1-2個知心朋友(無乜普通朋友因為唔識維持同溝通),聽到你覺得自己唔識維繫朋友之間既友誼而得返一至兩個朋友，你可以搵學校嘅counsellor傾下㗎！,L5
狀態唔佳，個人一緊張又唔記得曬溫左既內容 ,狀態不佳，一緊張就唔記得溫左嘅內容，你嘅感受係？,T5
其實我很想有人能把我看穿，了解我內心的不安和傷痛，好好的安慰這樣抑鬱的我....其實我不好。,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L4
我害怕爸媽對我失望  ,爸媽對你失望嘅話，你會有點嘅感受？,T3
"我直情當自己冇生日
fb 冇set 冇frd 記得 連自己老母都唔記得
就好似平常咁過咗一日 :D
老母過咗一個月之後先醒返起",唔好咁灰心住，就算依家感情唔係咁好，都唔代表以後都係咁㗎嗎。你可以做啲你喜歡嘅事去排解心情。,L7
 一進考場我急超緊張，覺得呼吸困難心跳得厲害,一入考場就超緊張，心跳厲害仲呼吸困難一定好辛苦。你點樣令自己好過啲？,T10
成日放假想出下街 好多地方想去好多野想食 次次都搵唔到人陪,想有人陪你行街食嘢，搵唔到人令你有點樣嘅感受？,L3
最唔開心果陣 身邊一個人都冇 冇人可以比我做樹洞 冇人聽我講嘢 乜都要自己面對,我明白你嘅感受，你可以平時同身邊嘅人建立良好嘅關係，當你有需要嘅時候，我相信佢地都會肯幫你同聽你講嘢 。,L2
社交無能而家覺得好辛苦,我明白呢個感受 需要時間嘅,L8
唉 唔似得中學 大學冇咁主動真係好難識人,認為大學識人比中學更加需要主動，喺點解呢？,L8
就系唔明題目系乜嘢意思，問緊我乜野,唔明題目咩意思嘅時侯，你會覺得點？,T5
唔知我呢次考試分數，系唔系比之前有進步,唔知今次考試分數有冇進步，你嘅感受係？,T1
父母要求好高，永遠都做得唔好， 所以就好攰,家人要求高，明白你覺得攰。不過，點解覺得自己永遠做唔好呢？,T3
"""試過好幾次系重要考試前胃痛",如果經常都係咁 會唔會同緊張或者飲食作息有關係 避免空肚考試同埋避免食刺激腸胃嘅食物 食胃藥有冇幫助 不過嚴重嘅話最好睇醫生之後先補考吧,T10
如果成績唔好，我驚我爹地鬧我,爹哋鬧嘅時候，你會覺得點？,T3
今日考試我緊張到頭痛呀,考試緊張到頭痛，的確難受。你點面對？,T10
一面怪自己好廢 好似係自己俾自己一d無謂嘅壓力同朋友講又好似煩住佢地咁 覺得無人明自己,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L4
依家year3，只會識到pjmate，唔會識到朋友,想識朋友嘅話，可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
我覺得我做得好差，成績應該得好低分,覺得自己做得差同埋應該會低分，點解呢？,T1
我真後悔沒有認真復習，考試時又分心     ,後悔無認真複習同埋考試分心，的確係幾難受。,T5
有時轉緊筆考試時間一下就過去了,呢個情況令到你有點嘅感覺，我想聽你講多啲。,T8
一緊張我個頭就痛，冇辦法集中精神做題,一緊張就頭痛，集中唔到精神，的確好困擾。你有咩解決方法？,T10
我這次fail了怎麼辦,"擔心自己會fail,你嘅感受係點？",T2
我可以點樣改善我容易緊張的問題？,試下分散自己嘅注意力 或者俾多啲時間自己休息放鬆,T9
我真後悔沒有努力復習，考試時又走神,後悔無努力復習同埋考試走神，的確係難受。,T5
今次考試好難丫，我想死了算了,哦，明白，但係死解唔解決到個問題？,T11
我因為一啲事，就快廿一，先去讀返asso。我發覺同啲同學已經有代溝，讀得好唔開心。有無人一樣？,聽到你因為過往經歷而令到同同學之間有啲代溝而感到唔開心，你可以搵學校嘅counsellor傾下㗎！,L5
考試嗰陣我會手震抖  ,考試手震，你點樣應對？,T10
我驚今次pass唔到仲要再考一次,咁真係會好大壓力 搵下past paper 畀心機準備好個exam先 或者搵朋友／教授幫下手搞清楚啲concept,T2
我仲系好緊張，唔知自己今次嘅分數,唔知今次分數，而令你緊張嘅時候，你會諗啲乜呢？,T1
"老實講,覺得要嘗試去享受自己一個嘅時光,就可以擺脫依種孤獨感",我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
我考試會做其他嘢，例如望下周圍呀,考試嘅時間好珍貴喔 專注啲喺份卷會無咁容易做錯喎 做多啲pastpaper就會多啲信心定啲,T6
萬一這次考試很難，我想都不敢想,做多點試題熟習 不明白的地方多點複習 找教授了解清楚喔 就會有多些信心吧,T5
我考試嗰陣會好緊張，成日check住時間睇下幾時完,有冇諗過係咩原因令你緊張 嗰啲因素有冇辦法可以舒緩呢,T7
我feel到我心跳個不停,緊張會唔會影響到你嘅表現 有無辦法可以令自己冇咁緊張,T10
有冇人明啲心事堆哂係個心度放唔到出黎嗰種感覺 真的好辛苦,太多心事喺心裡面的確會好辛苦。你可以搵屋企人或者朋友傾訴。再唔係，搵學校/社區嘅社工都得。,L2
而家大學每日生活就係返學放學  想搵人一個交心嘅人都冇,"俾個機會自己,俾個機會別人,當然最好係識得志同道合嘅朋友，但都要先了解自己有咩愛好，多參與活動，咁樣就算識唔到新朋友起碼都係自己鍾意做嘅事，唔會浪費左金錢同時間。",L2
因為如果模擬考考得唔好，我就覺得我最尾嘅考試應該分數都會好低,"先不要那麼擔心, 想 想如果真係咁，可以掂處理？",T1
好擔心考試溫完都唔識做 ,擔心考試溫完都唔識嘅原因係？,T5
已經不斷搵野去麻木自己 已經唔知仲可以同邊個訴下,明白你無法搵到人傾訴而需要麻木自己嚟淡化哀傷，你可以搵學校嘅counsellor傾下㗎！,L2
唔知啊，總之我就係好緊張 ,對於覺得緊張，我想聽你講多啲自己嘅感受。,T9
"本身份人比較摺,鍾意自閉多過出街,有呢啲性格已經難識朋友…",比起出街你更加鍾意自閉，但係點樣為之自閉呢？,L8
我認為我的大部分回答都是錯誤的，我的分數會很差,覺得自己大部分都答錯嘅原因係？,T4
越近考試就越緊張，都唔知道點算好,接近考試越來越緊張嘅時候，你有點樣嘅諗法？,T9
真係愈大愈孤獨，本身又被動，有事都唔想麻煩人地，Ig從來都唔敢出post投票/問人野，驚無人覆自己仲傷心,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L5
"分組呢樣野有時真係小圈子累事 [sosad]  就算你同好多人好friend都好, 如果你無個小圈子, 你夾硬痴埋去求其一個fd到都會好odd :-(  俾你痴到埋去, 頭果排甚至全部時間, 佢地都會有好多 inside joke",明白你因為其他人有小圈子而令你係分組時感到奇怪，甚至被佢地既inside jokes排斥，所以好唔開心。,L7
我看了書，發現很多題目都寫錯了,睇返書發現寫錯咗，你嘅感受係點？,T4
"當啲friend都拍拖,冇人理自己嗰陣就覺得好lonely…",試吓搵吓其他嘅朋友 比下其他人機會,L3
我反而想有嗰人可以聽我啲大小事 唉,有心事的確唔好受。你可以搵屋企人或者朋友傾訴。再唔係，搵學校/社區嘅社工都得。,L2
多題目都唔識做，我會唔會好低成績,"先不要那麼擔心, 想 想如果真係咁，可以掂處理？",T1
我解釋都冇人信我，明明個個都識咗三四年，但係冇一個信我…,我明白你嘅感受，你可以嘗試講多啲你嘅事，咁樣或者人地會更加了解你。同人溝通有困難嘅時候唔好忘記幫自己打氣呀。,L7
但系我緊張的時候手就會抖,緊張而手震嘅時侯，你會點處理？,T10
返謂嘅朋友 原來喺我需要佢地嘅時候會走曬 原來我一個朋友都冇,明白你喺需要朋友嘅時候但就冇人陪伴嘅失望，你可以搵學校嘅counsellor傾下㗎！,L2
我在最近的考試中感覺我好多答案都是錯的,覺得最近嘅考試好多都答錯嘅原因係？,T4
次次到咗考場我就心跳得厲害,到咗考場就心跳厲害，令你覺得點？,T10
孤獨到爆 成日自己一個食飯行街 ,知道你需要自己一個食飯行街，令你有啲孤獨，你可以搵學校嘅counsellor傾下㗎！,L1
有無人同我一樣現實生活係個隱形人？返工無同事知我個名…,喺公司無人知道你嘅名，以及覺得自己“隱形”，令你有點樣嘅感受呢？,L7
唔洗上堂連同人見下嘅機會都冇埋，原來u已經見得少 同人完全唔會熟到 覺得自己會冇朋友到grad…,我知道你因為依家唔需要返學校上堂而缺少咁同其他人相處同認識嘅機會，令你好擔心到畢業都識唔到朋友，是嗎？,L8
一緊張，我就控制唔到自己，脚唔停抖,緊張嘅時候就腳震，呢件事令你有點嘅感覺？,T8
好多題目都唔識答，我會唔會好低成績,今次有題目唔識答，能你嘅感受係？,T1
我會做好多唔係關於考試嘅嘢，例如玩鉛筆,但係咁會唔會令你容易分心 你考試通常會有幾大信心 有無試過做多啲題目熟習考試嘅範圍,T8
我考試又冇温書 入到試場咪周圉望望,考試無溫書，你嘅感受係點？,T6
因為好驚唔合格 冇把握,明白你嘅擔憂。不過，點解無把握呢？,T2
一個人的旅程，依舊要走完。,"明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去keep 住朋友,又或者考慮網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈",L3
個種想搵個人傾下計 溝通下都冇既感覺真係好慘 ,聽到你未必有人可以聽你溝通同傾訴而令你覺得唔開心，你可以搵學校counsellor傾下㗎！,L2
好驚呢次考試，老師又會出d難題嚟考我哋,老師出難題考你哋嘅話，你會有點樣嘅感受？,T5
有時好怕同人接觸 唔想同陌生人甚至朋友有交流,好怕同陌生人或者朋友交流，點解呢？,L8
"由大學到依家岀黎做嘢都識吾到一個同自己岩傾既人做朋友，雖然依段時間入面識到好多人，但都係表面保持友好關係，始終做吾到好朋友
",唔好咁灰心，真正嘅朋友會分擔你嘅憂愁，互相扶持。只要你係真心對人嘅話，別人係看得見㗎。,L6
唉 好寂寞 分左手 日日都得自己 朋友全部hibye fd,明白你嘅感受試吓搵多啲嘢做充實下自己 唔好俾自己落入寂寞嘅感覺,L6
我好擔心家人和我父母會生我氣,家人父母生氣，你會覺得點樣？,T3
有時我諗野嗰陣，我會睇緊第二度走神，然後就定曬形,諗野走神，定型嘅時候，係諗緊啲乜嘢？,T6
只要一個人獨處時，所有情緒都會湧上來，一直哭一直哭。,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..,L1
有時題目好難我就直接唔想答，然後轉筆來打發時間,題目難，唔識做嘅時侯，你感覺係點？,T8
每當一段關係變好時 我卻硬生生的弄糟了,唔好咁灰心住，終有一日您會找到connect到的人，唔好忘記幫自己打氣呀。,L8
今日考試我緊張到肚痛呀,考試緊張所以胃痛，你會點做？,T10
一想到這次的考試結果我就擔心的不行,擔心考試結果嘅時候，你會諗乜？,T1
可能係因為我好多野都唔記得咗，考試fail,試吓做多啲past paper 做熟啲基礎搶分題目 平時assessment比啲心機做 下次就會容易啲pass架啦,T5
今次嘅考官好嚴肅，搞到我好緊張，遞證件嘅時候，手都喺度都 ,教官嚴肅令你緊張嘅時候，你係點諗嘅？,T9
係呀，次次考試都鎮定唔到 ,次次考試都鎮定唔到，係咩原因呢？,T9
我看了書，發現很多題目都做錯了,睇返書發現做錯咗，你嘅感受係點？,T4
"我都係又摺又慢熱果d, 注定一人","會覺得自己摺同埋慢熱呢,可以舉例講下嗎？",L8
反工強顏歡笑 做人真係攰,唔好咁灰心住，你可以搵朋友分擔你嘅憂愁，互相扶持。只要你係真心對人嘅話，別人係看得見㗎。,L6
我再看多點書就好了   ,了解多啲基礎知識 分配好時間 一定會考得更加好,T5
我好耐冇同人傾計 話題都諗唔到,我明白有時同人傾計會諗唔到話題。你可以諗下大家有冇共同喜好或者問下佢哋嘅想法，積極回應就ok㗎啦。,L5
因為從來都唔會有人肯聽我傾述，晚晚就一路喊一路訓著。, 你可以搵學校嘅counsellor傾下㗎。,L2
一個朋友都冇，覺得自己好廢,明白你會因為無朋友而感到情緒低落，甚至覺得自己無用。你可以搵學校嘅counsellor傾下㗎！,L8
唔知我呢次考試結果，系唔系比之前有進步,唔知今次考試結果有冇進步，你嘅感受係？,T1
會覺得有少少唔耐煩，我只係想快d做完份試,如果做多啲past paper熟習考核範圍 應該可以快啲做完份卷 如果有時間check多幾次之後其實早啲離開都好 多啲時間俾自己休息同準備下一科嘛,T7
你覺得我沒考好他們會對我失望嗎,佢哋失望嘅話，你會覺得點？,T3
如果考唔好，我驚我爹地鬧我,爹哋鬧嘅時候，你會有點嘅感受？,T3
"我依然好怕dealing with people, 尤其係女仔 (利申: 讀左12年女校), 亦變到好似唔再識同人溝通咁… ","明白這感受會令人不開心.唔好咁灰心住,試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。",L5
"其實我都係，人生行左差唔多1/3
日日冇所事事，日頭就識返工
收工就識打機，而打機又唔係真心想打
只係想消時間，日覆日咁
都唔知自己生存黎做咩
朋友又冇，兄弟又冇，老豆又行左",我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
嗰段時間真係好寂寞 但真係唔想返屋企 ,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
我覺得自己表現得唔好，好多地方都卡住了冇講好,覺得自己表現唔好，好多地方卡住咗無講好嘅意思係？,T4
唔知係咪自己性格太自私，定冇話題，幽默感，一直都冇乜朋友,聽你咁講，你認為自己性格有缺陷所以認識唔到朋友，是嗎？,L8
困境就係遇到困境既時候身邊無一個人可以傾訴 原來我 真係無朋友,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
已經唔敢再主動約人，都係留返係屋企毒算,我明白你嘅感受，其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
考試好難 又有溫好耐 迷茫,試下設立唔同嘅階段性目標比自己 逐步去努力達成 或者試下form study group同同學仔一齊努力互補不足,T5
考試題目唔識答，點算好?,考試題目唔識答嘅話，你會覺得點？,T5
我可以扮到好識social但係其實朋友唔多亦都唔識social一段關係比我嘅感覺好唔真實,你談到自己有社交方面嘅問題，令你覺得一段關係好唔真實，對你造成困擾。歡迎搵學校嘅counsellor傾下㗎！,L6
我覺得我呢次成績肯定唔合格,咁肯定自己今次唔合格，點解呢？,T1
"個人好無安全感，由細到大都唔能夠打開自己去同人交心所以都無真心朋友,hi bye friends 好多。 連之前拍拖都唔能夠打開自己去愛，做唔到真正既自己..",試吓對而家嘅朋友敞開 或者淨係同你覺得相處比較舒服嘅朋友一齊～,L6
自己又唔敢approach人，總係覺得好難同一個完全陌生既人搵大家啱傾既話題...,明白你可能未必識得同陌生人相處而感到不知所措，你可以搵學校counsellor傾下㗎！,L5
"唔知點解由細到大都有一種好莫名嘅孤獨感
",明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去同自己朋友互動一下,L3
本身同一班朋友好好朋友，但係而家好明顯有陣時佢哋有得玩都唔會預我，自己小圈子圍埋玩，好多時候都諗住直接同佢哋絕交,好朋友無邀請自己一齊玩，感覺真係唔好受。你有冇試過問佢哋原因？,L7
次次考試都覺得會答錯曬,次次考試都覺得會答錯嘅原因係？,T4
是的，但是我確實沒有認真準備 ,覺得自己無認真準備嘅原因係？,T5
雖然我覺得呢次考試我系正常發揮了，但系我總覺得我可能仲會fail;,既然正常發揮，總係覺得會fail嘅原因係？,T2
有冇人都覺得自己下半世都會係孤單一個？,覺得自己下半世都會孤單一個，到底係點解呢？,L3
"我都係經歷過俾人杯,啲老友出曬國讀書,搞到自己一個人留喺香港好孤獨,但呢啲嘢習慣成自然..",我明白你嘅感受，你可以試下用唔同嘅方法同屋企人多啲聯繫，相信佢地都會關心你。,L3
"冇哂朋友 , 中學朋友已經冇contact,大學同學好利益關係",大學同學關係太利益，的確會難受。會唔會想同中學同學聯絡返？,L6
"一齊行去食飯個時會自己一個跟係後面唔講嘢
三人行總是比人逼咗去後面",明白你呢個感受先唔好灰心 或者試吓可以喺新嘅圈子同其他人相處,L7
有時想搵人傾又唔知人地想唔想聽，又唔知人地得唔得閒，之後就會放棄左搵佢既念頭，都係自己一個算,因為擔心其他人唔得閒或者唔想聽，自己收埋心事一定好難受。有需要時，不如搵學校/社區嘅社工傾訴下。,L5
有無人宜家中秋節一個人緊食飯,可能你係節日時候未必有人陪伴，好想搵人傾訴，你可以搵學校嘅counsellor傾下㗎！,L1
我仲會覺得身體好熱，手震,如果身體不適好嚴重 最好盡快睇醫生 睇下有咩舒緩方法或者藥物可以幫到手 唔飲有咖啡因嘅飲品可以減輕手震,T10
有好多friend，但冇個熟 日日lunch都唔同人， 好冇安全感,試吓對而家嘅朋友敞開 或者淨係同你覺得相處比較舒服嘅朋友一齊～,L6
我都不敢想不及格要怎麼辦,努力準備好exam吧 也可以找教授/advisor商量一下 他們會很樂意幫助你的,T2
知道！！！！我一定會比心機 憤怒 ,嗯 吸取上次嘅教訓 努力就會見到努力就會見到進步,T5
覺得呢個世界冇人會明白自己冇人會開解自己,我明白你嘅感受，你可以嘗試講多啲你嘅事，咁樣或者人地會更加了解你。唔好忘記幫自己打氣呀。,L7
我做題嗰陣會忍唔住老系轉頭望望而家幾點,做題忍唔住一直望時間，係點解呢？,T7
我沒法想象這次考試難度有多大 ,做多點試題熟習 和同學一起溫習也可能有幫助呢,T5
考得差，又會比爸爸媽媽話我,爸爸媽媽話嘅時候，你會覺得點樣？,T3
唔識做嗰陣，我就望住人哋,唔識做就望住人哋，係點解呢？,L4
我anti social media，ig fb sc都冇用，u啲人個個都用，一嚟就交換ig，所以識唔到朋友 ,認為無用social media會難識朋友。點解你唔用呢？,L8
我只不過係有輕微情緒問題，個個都避開曬我，我真係咁黑人憎咩,唔好咁灰心住，你可以試下將你嘅想法寫低，咁樣可以減少孤獨感。,L7
我好唔確定我啲回答係咪正確,唔確定自己嘅回答係咪正確，你有點嘅感受？,T4
嗱，考試我就唔得，次次都炒硬,嗯，你有冇記得之前考得麻麻嘅原因，可以試下針對嗰啲地方集中改善喎。,T1
我都係呀。。好唔想一個人 但無動力去識新朋友,我完全明白你好想認識新朋友，但同時又無動力去行動嘅無奈。係咩原因導致你冇動力呀？,L8
好大壓力  身邊又無人可以講,你可以搵學校嘅counsellor傾下㗎。,L2
冇辦法 識親d人都唔太啱key,你嘅經歷可能令你覺得自己未必同身邊嘅人有共鳴而有啲無助。如果真係諗唔到方法，不妨同學校嘅counsellor分享下，一齊思考解決方案！,L5
由有記憶開始，我就好孤獨...冇人明我嘅感覺，就算有朋友，有伴侶，我都感覺唔到靈魂交流嘅感覺,身邊有人但仍然感到孤獨，一定好難受。你認為靈魂交流嘅感覺係點嘅呢？,L4
我會係咁諗如果我唔合格會點，,萬一考唔好都有好多後著 其他科可以拉分又可以retake 搵朋友傾傾互相分擔下補充能量吧,T2
我覺得我點樣學都學唔明,覺得自己點樣學都學唔明嘅原因係？,T5
最慘係身邊最frd嘅朋友同自己開始疏離 又變翻自己一個,我好難過你經歷咗呢啲嘢所以keep contact都好重要㗎,L3
如果今次考試仲系唔好，我媽咪肯定有會嬲我,今次考試唔好，媽咪嬲嘅話，你會有點嘅感受？,T3
因為自己受過嘅傷太多，成日都收埋自己,聽起來你經歷了一場如地獄般的考驗。或者你可以用少少時間去睇吓你嘅朋友值唔值得信任!,L6
我ig好多朋友相 全部一堆堆 個個以為我好多朋友 但其實一年都約唔到一次,明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去同自己朋友互動一下,L6
咁多野考，個個都咁難，迷茫,試下設立唔同嘅階段性目標比自己 好似打機咁關關過 分配好時間 逐步去努力達成 或者試下form study group同同學仔一齊努力互補不足 咁就會無咁辛苦架啦,T5
一緊張我就擔心答唔曬 ,緊張，擔心答唔晒嘅時侯，你會點應對？,T9
"我有朋友 都同同事相處得ok
但唔知點解 總係覺得自己同佢地唔同類型",相處到嘅朋友同事，唔知點解好似同自己唔係同一個類型。可以同我講下係有乜嘢唔同嗎？,L5
雖然朋友冇離開我 但有時候我都唔敢煩佢地,聽到你唔敢同朋友傾訴而令自己感到辛苦，你可以同學校嘅counsellor傾下㗎！,L5
唔係大時大節或者佢某方面有問題都唔會搵我，變相似工具人多過朋友,覺得自己似工具人，呢個感受實在唔好。不過，除咗大時大節之外，你嘅朋友遇到咩問題嘅時侯會搵你呢？,L6
但係成績太差媽媽會話我上堂唔認真,俾父母話上堂唔認真，會令你有點嘅感受？,T3
日日都係一個人咁過，無接觸朋友，食飯都係自己食。個人慢慢變到唔想，亦唔識同人相處，但內心其實都係想有人陪，會羨慕人哋可以一齊咁輕鬆同其他人一齊生活…,有時候要勇敢踏出第一步，以誠懇嘅態度同人交流。終有一日您會找到connect到的人，唔好忘記幫自己打氣呀。,L8
我考試果陣，我心跳個不停 ,考試嗰陣心跳不停，你會覺得點樣？,T10
爸妈對我期望好高…可以點做？,爸媽對你期望高，你有點嘅感覺？,T3
我考慮我做得多麼差，我的成績會如何，如果我失敗了會怎樣。,成績只是你的一小部分 不能就此判定一個人的能力 可以想想情況背後的原因逐步改善,T2
"開始習慣一個人去睇戲,周圍去玩下食下嘢, 試過自己一個人去長洲,山頂,大澳,石澳,之前生日都係自己一個人去玩...",自己睇戲，食嘢，行街同埋過生日，令你有點樣嘅感受？,L1
呢排就快考試，我成日都覺得溫唔切書 傷心 ,學海無涯 溫唔切嘅最緊要溫熟啲基本搶分題 有策略咁準備就可以用最少嘅時間考到理想嘅成績,T5
我成日覺得我做得好差，會唔合格,準備多啲 熟習啲題目 記住搵啲方法放鬆自己 多啲同信得過嘅人分享溝通 分擔一下 要對自己有信心呀,T2
自己唔約人，可以成年都冇人揾我，已經冇一個可以講心事既朋友,明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L2
喺考場度覺得好大壓力，想考試快d完，我可以快d走,都係嘅 有時連續幾日考幾科 快啲考完就可以多啲時間準備或者畀自己休息,T7
去番以前既老地方 但已經物是人非 得番自己一個 會好孤獨感慨,明白呢種感覺唔好受。不過，點解會物是人非，究竟發生咗咩事呢？,L3
"係u入面玩得埋既得1個
同埋好多無謂既social活動，食飯唱k，但食完唱完就散，朋友又熟唔到，錢同時間又哂左
如果唔係屋企人，真係捱唔到落去。",唔好咁灰心，終有一日您會找到connect到的人，真正嘅朋友會分擔你嘅憂愁，互相扶持。只要你係真心對人嘅話，別人係看得見㗎。,L6
而且我一諗到下過月要考試，就經常擔心到頭痛同埋瞓唔著,明白你擔心考試。考試前成個月都頭痛又瞓唔著一定好辛苦。果啲日子你會點面對？,T10
因為如果模擬考考得唔好，我就覺得我最尾嘅考試都會考得好差,睇黎今次模擬試對你黎講係幾重要。你而家嘅心情係？,T2
還會玩筆 還會轉鉛筆  ,玩筆，轉鉛筆令你有點嘅感覺？,T8
我覺得呢次考試自己沒有發揮好 ,呢次考試無發揮好，會咁覺得嘅原因係？,T4
可能係因為我好多野都唔識，考試實唔pass,對於考試，你打算做啲點嘅準備呢？,T2
有時我又會睇住黑板出神 ,睇住黑板出神嘅時候，你有點嘅諗法？,T6
話就話大家係朋友 大家都當大家係朋友 但始終就好似無人明自己個世界,朋友唔理解你個世界，到底係發生咗咩嘢事呢，可以同我講下嗎？,L4
我睇習咗一個月書，覺得仲系冇複習曬,溫咗一個月都覺得未複習晒，點解呢？,T5
識得多人 但係又未frd到平時出街玩 所以一大時大節就好頹,試吓對而家嘅朋友敞開 或者淨係同你覺得相處比較舒服嘅朋友一齊～,L6
但系我覺得好多題我都冇把握，好似都答錯嗮。,覺得好多題都無把握，你嘅感受係點呢？,T4
你覺得我成績不好他們會對我失望嗎,佢哋失望，會令你有點嘅感受？,T3
"好多嘢都講唔到出口,同埋永遠都會得自己先明白自己 ",我明白你嘅感受，你可以嘗試將你嘅想法表達得清晰啲，咁就容易啲令人明白啦。唔好忘記幫自己打氣呀。,L4
有時我又會盯住黑板發呆,有冇試過因為發呆搞到做唔切,T6
好想做毒撚 近排又見到身邊啲朋友約大家出去 見住無自己份 好唔開心 ,唔好咁灰心住，你可以首先了解下點解人地唔搵你，之後或者你可以搵你信任嘅人講依件事。,L7
我都有諗過係咪自己問題，我好少參加群體活動，例如打波跳舞嗰啲，少左個途徑識朋友咁,有時候要勇敢踏出第一步，以誠懇嘅態度同人交流。唔好忘記幫自己打氣呀,L8
究竟有冇人睇到我嘅痛苦,你而家覺得冇人見到自己面對嘅問題，覺得好辛苦。可以同我講下你嘅痛苦係乜野嗎？,L7
呢種疏離係自己造成嘅 由細到大 我都無諗法要去維繫同其他人嘅關係 我唔鍾意出街 唔鍾意啲frd chur我覆message …,從你嘅話語中，感受到你未必有同其他人維繫關係嘅想法，導致與人疏離而感到難過，你可以同學校嘅counsellor傾下㗎！,L6
今日老師話下星期考試，然後我就好擔心  ,老師話下星期考試，令你擔心嘅原因係？,T9
可能係因為我好多野都唔識，考試fail,對於今次嘅考試結果，你有點嘅感受呢？,T2
點算呀，呢次考試我嘅分數肯定唔好,今次考試咁肯定自己考得唔好，係點解呢？,T1
 今次考試嘅題目好難丫，我寫答案嗰陣緊張到手都出汗,寫答案緊張手震，你會點處理？,T10
考試開始之後我就覺得胃疼，想上廁所,考試開始之後胃痛，你會點處理？,T10
因為我溫左好耐書都唔記得,溫左好耐書都唔記得，會令你有點嘅感覺？,T5
唔想又唔識同人講野，心好攰，覺得自己唔值得被人鍾意,聽到你對於與人溝通有啲卻步，亦有啲心累，認為自己唔應該被喜歡。你可以搵學校嘅counsellor傾下㗎！,L8
考得唔好 爸媽又會話我,可能父母未必會嬲，試下同屋企人傾下先,T3
冇真心朋友，冇女朋友，父母唔關心我，淨關心阿哥，老師唔理我，dse肥埋，搵唔到好工，已經麻木，但有時瞓唔著又會覺得成個人生好悲哀而不禁流淚,覺得無女朋友同真心嘅朋友，屋企人同老師都唔關心自己，考試成績唔好而搵到嘅工有限，所以覺得麻木。但係你半夜喊嘅時侯，心情係點樣既呢？,L3
"自己本身唔太鐘意講野, 又好少留意身邊既野所以冇咩話題同人講
有時有D同事或者舊同學約我出黎食飯睇戲之類, 我都唔係好想去, 有時會搵藉口拒絕",唔緊要㗎，你做自己鍾意嘅野就夠㗎啦。唔好忘記幫自己打氣呀。,L5
可能我成日諗住如果額分數唔好，我爹地媽咪會失望,父母失望嘅話，會令你有點嘅感受？,T3
不敢想我爸媽知道了我的成績會怎麼,你認為爸媽可能會有點樣嘅反應呢？,T3
都係呀我成日周圍望下其他人，驚我做得太慢,但係佢哋可能會策略性揀啲容易攞分嘅題目跳嚟做 如果操熟啲題目到時會唔會做得快啲,L4
考試嗰陣我好攰 好擔心 迷茫,尤其連續考幾科會特別辛苦添 你會唔會對自己有好高期望同要求,T9
一做卷就覺得答咩都錯 然後就好驚分數會差 傷心,明白你嘅傷心。不過，可以講下點解覺得答咩都錯嗎？,T4
"人地感覺我好多朋友 好識social
但我覺得自己無乜朋友 好孤獨",明白孤獨嘅感覺唔好受。其他人覺得你好多朋友，但係你覺得唔係咁樣，點解會有呢個分別呢？,L3
唔開心想搵人傾下計 whatsapp又好傾電話又好 碌勻成部電話 搵唔到一個可以傾計既人,我明白你嘅感受，你可以平時同身邊嘅人建立良好嘅關係，當你有需要嘅時候，我相信佢地都會肯幫你。,L2
我都試過喺其他羣體，唔多理你都算，處處要自己爭取存在感:) ,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L7
系阿，所以我答題嘅時候，嗰心跳得好快,答題嘅時侯心跳好快，你有點嘅感受呢？,T10
我一緊張，我個心就跳個不停 ,緊張就心跳不停，你有點嘅感受？,T10
